No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
695,Kursus ini membuat pembelajaran NLP terasa bermanfaat berkat strukturnya yang terencana dengan baik.,2,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP terasa bermanfaat berkat strukturnya yang terencana dengan baik.,[],0
696,Saya merasa percaya diri belajar dari kursus ini karena penjelasannya jelas dan konsisten.,1,0,0,0,0,1,0,0,0,1,Saya merasa percaya diri belajar dari kursus ini karena penjelasannya jelas dan konsisten.,[],0
697,Pengalaman belajar tersebut menyenangkan dan memotivasi berkat gaya mengajar instruktur.,1,0,0,0,0,1,0,1,0,1,Pengalaman belajar tersebut menyenangkan dan memotivasi berkat gaya mengajar instruktur.,[],0
698,Kursus ini melampaui harapan saya dengan membuat ide-ide kompleks menjadi mudah dipahami.,4,0,0,0,0,1,0,1,0,1,Kursus ini melampaui harapan saya dengan membuat ide-ide kompleks menjadi mudah dipahami.,[],0
699,Saya sangat puas dengan penjelasan konsep NLP yang begitu jelas dalam kursus ini.,4,0,0,0,0,1,0,0,0,1,Saya sangat puas dengan penjelasan konsep NLP yang begitu jelas dalam kursus ini.,[],0
700,Saya menikmati kursus ini karena menyajikan konsep NLP dengan cara yang terasa logis dan menarik.,2,0,0,0,0,1,0,0,0,1,Saya menikmati kursus ini karena menyajikan konsep NLP dengan cara yang terasa logis dan menarik.,[],0
701,Kursus ini membantu saya membangun kepercayaan diri dan antusiasme untuk mempelajari NLP.,4,0,0,0,0,1,0,0,0,1,Kursus ini membantu saya membangun kepercayaan diri dan antusiasme untuk mempelajari NLP.,[],0
702,Saya merasa puas dengan pengalaman belajar tersebut karena kontennya terstruktur dengan baik.,2,0,0,0,0,1,0,0,0,1,Saya merasa puas dengan pengalaman belajar tersebut karena kontennya terstruktur dengan baik.,[],0
703,Penjelasan dari instruktur membuat pembelajaran NLP menyenangkan dan mudah diikuti.,1,0,0,0,0,1,0,0,0,1,Penjelasan dari instruktur membuat pembelajaran NLP menyenangkan dan mudah diikuti.,[],0
704,Kursus ini melampaui harapan saya dengan memberikan pelajaran yang jelas dan memotivasi.,4,0,0,0,0,1,0,1,0,1,Kursus ini melampaui harapan saya dengan memberikan pelajaran yang jelas dan memotivasi.,[],0
705,Saya menikmati proses pembelajaran ini karena kursus ini menjelaskan konsep-konsepnya langkah demi langkah.,1,0,0,0,0,1,0,0,0,1,Saya menikmati proses pembelajaran ini karena kursus ini menjelaskan konsep-konsepnya langkah demi langkah.,[],0
706,Saya merasa percaya diri dan puas setelah menyelesaikan kursus ini.,4,0,0,0,0,1,0,0,0,1,Saya merasa percaya diri dan puas setelah menyelesaikan kursus ini.,[],0
707,Struktur kursus ini membuat pembelajaran NLP menjadi menyenangkan dan efektif.,2,0,0,0,0,1,0,0,0,1,Struktur kursus ini membuat pembelajaran NLP menjadi menyenangkan dan efektif.,[],0
708,Saya menyukai kejelasan dan pengorganisasian pelajaran sepanjang kursus.,2,0,0,0,0,1,0,0,0,1,Saya menyukai kejelasan dan pengorganisasian pelajaran sepanjang kursus.,[],0
709,Kursus ini membuat pembelajaran NLP terasa mudah diakses dan bermanfaat.,4,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP terasa mudah diakses dan bermanfaat.,[],0
710,Saya sangat puas dengan kursus ini karena menjelaskan konsep NLP dengan jelas dan membangun kepercayaan diri.,4,0,0,0,0,1,0,0,0,1,Saya sangat puas dengan kursus ini karena menjelaskan konsep NLP dengan jelas dan membangun kepercayaan diri.,[],0
711,Penjelasan yang jelas dari instruktur membuat pengalaman belajar menjadi menyenangkan.,1,0,0,0,0,1,0,0,0,1,Penjelasan yang jelas dari instruktur membuat pengalaman belajar menjadi menyenangkan.,[],0
712,Kursus ini melampaui harapan saya dengan membuat NLP menarik dan mudah dipahami.,4,0,0,0,0,1,0,1,0,1,Kursus ini melampaui harapan saya dengan membuat NLP menarik dan mudah dipahami.,[],0
713,Saya menikmati belajar dari kursus ini karena kontennya mengalir secara logis.,2,0,0,0,0,1,0,0,0,1,Saya menikmati belajar dari kursus ini karena kontennya mengalir secara logis.,[],0
714,Pengalaman belajar tersebut positif dan memotivasi berkat struktur kursusnya.,2,0,0,0,0,1,0,0,0,1,Pengalaman belajar tersebut positif dan memotivasi berkat struktur kursusnya.,[],0
715,Saya merasa yakin dengan pemahaman saya tentang NLP setelah menyelesaikan kursus ini.,4,0,0,0,0,1,0,0,0,1,Saya merasa yakin dengan pemahaman saya tentang NLP setelah menyelesaikan kursus ini.,[],0
716,Kursus ini membuat pembelajaran NLP menjadi menyenangkan melalui penjelasan yang jelas dan mendalam.,1,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP menjadi menyenangkan melalui penjelasan yang jelas dan mendalam.,[],0
717,Saya menikmati proses pembelajaran karena instruktur menjelaskan konsep-konsepnya dengan sangat baik.,1,0,0,0,0,1,0,0,0,1,Saya menikmati proses pembelajaran karena instruktur menjelaskan konsep-konsepnya dengan sangat baik.,[],0
718,Saya sangat puas dengan cara kursus ini menyajikan topik-topik NLP.,4,0,0,0,0,1,0,0,0,1,Saya sangat puas dengan cara kursus ini menyajikan topik-topik NLP.,[],0
719,Kursus ini memberikan pengalaman belajar yang sangat menyenangkan dan membangun kepercayaan diri 😊,4,0,0,0,0,1,0,0,0,1,Kursus ini memberikan pengalaman belajar yang sangat menyenangkan dan membangun kepercayaan diri,['😊'],1
720,"Saya merasa sangat senang dan terkejut dengan betapa jelasnya kursus ini menjelaskan konsep-konsep NLP, sehingga seluruh pengalaman belajar menjadi menyenangkan dan memotivasi dari awal hingga akhir 😄",1,0,0,0,0,1,0,1,0,1,"Saya merasa sangat senang dan terkejut dengan betapa jelasnya kursus ini menjelaskan konsep-konsep NLP, sehingga seluruh pengalaman belajar menjadi menyenangkan dan memotivasi dari awal hingga akhir",['😄'],1
721,"Kursus ini membuat saya merasa bersemangat sekaligus terkejut karena berhasil mengubah topik NLP yang kompleks menjadi sesuatu yang menarik, mudah dipahami, dan bermanfaat untuk dipelajari 🤩",4,0,0,0,0,1,0,1,0,1,"Kursus ini membuat saya merasa bersemangat sekaligus terkejut karena berhasil mengubah topik NLP yang kompleks menjadi sesuatu yang menarik, mudah dipahami, dan bermanfaat untuk dipelajari",['🤩'],1
722,Saya sangat terkejut sekaligus senang melihat betapa lancarnya alur pelajaran dan betapa menyenangkannya belajar NLP berkat penjelasan yang jelas dari instruktur 😌,1,0,0,0,0,1,0,1,0,1,Saya sangat terkejut sekaligus senang melihat betapa lancarnya alur pelajaran dan betapa menyenangkannya belajar NLP berkat penjelasan yang jelas dari instruktur,['😌'],1
723,Kursus ini melebihi ekspektasi saya dan membuat saya merasa senang karena setiap topik dijelaskan dengan cara yang sangat jelas dan mudah dipahami 😃,4,0,0,0,0,1,0,1,0,1,Kursus ini melebihi ekspektasi saya dan membuat saya merasa senang karena setiap topik dijelaskan dengan cara yang sangat jelas dan mudah dipahami,['😃'],1
724,"Saya merasakan kenikmatan dan kejutan menyenangkan saat mempelajari NLP karena penjelasannya terstruktur, terarah, dan mudah dipahami 🙂",2,0,0,0,0,1,0,1,0,1,"Saya merasakan kenikmatan dan kejutan menyenangkan saat mempelajari NLP karena penjelasannya terstruktur, terarah, dan mudah dipahami",['🙂'],1
725,Kursus ini membuat pembelajaran NLP menjadi menarik dan mengejutkan dengan menyajikan konsep-konsepnya dengan cara yang terasa intuitif dan sangat menarik 😄,1,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi menarik dan mengejutkan dengan menyajikan konsep-konsepnya dengan cara yang terasa intuitif dan sangat menarik,['😄'],1
726,Saya sangat terkejut betapa saya menikmati belajar NLP melalui kursus ini karena kejelasan dan gaya pengajarannya yang menarik 😊,1,0,0,0,0,1,0,1,0,1,Saya sangat terkejut betapa saya menikmati belajar NLP melalui kursus ini karena kejelasan dan gaya pengajarannya yang menarik,['😊'],1
727,Kursus ini membuat saya merasa gembira dan terkesan karena menjelaskan ide-ide NLP dengan jelas sambil tetap membuat pengalaman belajar menyenangkan 😃,1,0,0,0,0,1,0,0,0,1,Kursus ini membuat saya merasa gembira dan terkesan karena menjelaskan ide-ide NLP dengan jelas sambil tetap membuat pengalaman belajar menyenangkan,['😃'],1
728,Saya merasa bersemangat dan terkejut secara positif dengan betapa efektifnya instruktur tersebut membuat konsep-konsep NLP yang kompleks menjadi mudah dipahami 🤩,1,0,0,0,0,1,0,1,0,1,Saya merasa bersemangat dan terkejut secara positif dengan betapa efektifnya instruktur tersebut membuat konsep-konsep NLP yang kompleks menjadi mudah dipahami,['🤩'],1
729,"Mempelajari NLP melalui kursus ini merupakan pengalaman yang menyenangkan, terutama karena penjelasannya lebih jelas dari yang saya duga sebelumnya 😄",1,0,0,0,0,1,0,1,0,1,"Mempelajari NLP melalui kursus ini merupakan pengalaman yang menyenangkan, terutama karena penjelasannya lebih jelas dari yang saya duga sebelumnya",['😄'],1
730,"Saya merasa senang sekaligus terkejut dengan betapa menariknya pelajaran-pelajaran tersebut, membuat NLP terasa jauh lebih mudah diakses dan menyenangkan 🙂",1,0,0,0,0,1,0,1,0,1,"Saya merasa senang sekaligus terkejut dengan betapa menariknya pelajaran-pelajaran tersebut, membuat NLP terasa jauh lebih mudah diakses dan menyenangkan",['🙂'],1
731,Kursus ini memberikan kejutan menyenangkan dengan mengubah topik NLP yang menantang menjadi sesuatu yang menyenangkan dan memotivasi untuk dipelajari 😊,4,0,0,0,0,1,0,1,0,1,Kursus ini memberikan kejutan menyenangkan dengan mengubah topik NLP yang menantang menjadi sesuatu yang menyenangkan dan memotivasi untuk dipelajari,['😊'],1
732,Saya sangat menikmati kursus ini dan terkejut betapa alaminya penjelasan-penjelasan tersebut membantu saya memahami konsep-konsep NLP 😌,1,0,0,0,0,1,0,1,0,1,Saya sangat menikmati kursus ini dan terkejut betapa alaminya penjelasan-penjelasan tersebut membantu saya memahami konsep-konsep NLP,['😌'],1
733,Pengalaman belajar ini terasa menyenangkan dan menyegarkan karena kursus ini melebihi ekspektasi saya dalam hal kejelasan dan struktur 😃,4,0,0,0,0,1,0,0,0,1,Pengalaman belajar ini terasa menyenangkan dan menyegarkan karena kursus ini melebihi ekspektasi saya dalam hal kejelasan dan struktur,['😃'],1
734,Saya merasakan kegembiraan dan kejutan karena kursus ini membuat konsep NLP lebih mudah dan menyenangkan daripada yang saya duga 🤩,4,0,0,0,0,1,0,1,0,1,Saya merasakan kegembiraan dan kejutan karena kursus ini membuat konsep NLP lebih mudah dan menyenangkan daripada yang saya duga,['🤩'],1
735,"Kursus ini membuat belajar NLP menjadi perjalanan yang menyenangkan, terutama karena setiap topik disajikan dengan sangat jelas dan menarik 😄",1,0,0,0,0,1,0,0,0,1,"Kursus ini membuat belajar NLP menjadi perjalanan yang menyenangkan, terutama karena setiap topik disajikan dengan sangat jelas dan menarik",['😄'],1
736,"Saya sangat terkejut dengan kedalaman pemahaman yang saya peroleh, sambil tetap menikmati setiap pelajaran 🙂",4,0,0,0,0,1,0,1,0,1,"Saya sangat terkejut dengan kedalaman pemahaman yang saya peroleh, sambil tetap menikmati setiap pelajaran",['🙂'],1
737,Penjelasan dari instruktur membuat pembelajaran NLP menjadi sangat menyenangkan dan selalu memuaskan 😊,1,0,0,0,0,1,0,1,0,1,Penjelasan dari instruktur membuat pembelajaran NLP menjadi sangat menyenangkan dan selalu memuaskan,['😊'],1
738,Saya merasa senang dan terkesan dengan bagaimana kursus ini mengubah ide-ide NLP yang kompleks menjadi sesuatu yang menarik dan mudah dipahami 😃,4,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan bagaimana kursus ini mengubah ide-ide NLP yang kompleks menjadi sesuatu yang menarik dan mudah dipahami,['😃'],1
739,Kursus ini melebihi ekspektasi saya dengan memberikan pengalaman belajar yang menyenangkan dan sangat lancar 🤩,4,0,0,0,0,1,0,1,0,1,Kursus ini melebihi ekspektasi saya dengan memberikan pengalaman belajar yang menyenangkan dan sangat lancar,['🤩'],1
740,Saya benar-benar menikmati dan terkejut karena kursus ini membuat konsep NLP terasa intuitif dan terstruktur dengan baik 😄,2,0,0,0,0,1,0,1,0,1,Saya benar-benar menikmati dan terkejut karena kursus ini membuat konsep NLP terasa intuitif dan terstruktur dengan baik,['😄'],1
741,Mempelajari NLP melalui kursus ini menyenangkan dan mudah di luar dugaan berkat penjelasan yang jelas 😊,1,0,0,0,0,1,0,1,0,1,Mempelajari NLP melalui kursus ini menyenangkan dan mudah di luar dugaan berkat penjelasan yang jelas,['😊'],1
742,Saya merasa gembira sepanjang kursus dan terkejut sekaligus senang dengan betapa menariknya proses pembelajaran tersebut 😃,4,0,0,0,0,1,0,1,0,1,Saya merasa gembira sepanjang kursus dan terkejut sekaligus senang dengan betapa menariknya proses pembelajaran tersebut,['😃'],1
743,Kursus ini membuat pembelajaran NLP menjadi menarik karena menjelaskan konsep-konsepnya dengan lebih jelas dari yang saya duga 🤩,1,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi menarik karena menjelaskan konsep-konsepnya dengan lebih jelas dari yang saya duga,['🤩'],1
744,Saya menikmati perjalanan belajar ini dan terkejut betapa nyamannya saya memahami topik-topik NLP 😌,4,0,0,0,0,1,0,1,0,1,Saya menikmati perjalanan belajar ini dan terkejut betapa nyamannya saya memahami topik-topik NLP,['😌'],1
745,Kursus ini membawa kegembiraan dan kejutan positif dengan membuat NLP mudah dipahami dan menarik 😊,4,0,0,0,0,1,0,1,0,1,Kursus ini membawa kegembiraan dan kejutan positif dengan membuat NLP mudah dipahami dan menarik,['😊'],1
746,Saya merasa bersemangat dan terkejut sekaligus senang dengan kemampuan instruktur dalam menyederhanakan ide-ide NLP yang kompleks 😄,1,0,0,0,0,1,0,1,0,1,Saya merasa bersemangat dan terkejut sekaligus senang dengan kemampuan instruktur dalam menyederhanakan ide-ide NLP yang kompleks,['😄'],1
747,Kursus ini melampaui ekspektasi saya dengan membuat pembelajaran NLP menjadi menyenangkan dan bermanfaat 🤩,4,0,0,0,0,1,0,1,0,1,Kursus ini melampaui ekspektasi saya dengan membuat pembelajaran NLP menjadi menyenangkan dan bermanfaat,['🤩'],1
748,Saya merasakan kebahagiaan dan kejutan saat setiap pelajaran menjadi lebih mudah dipahami 😊,4,0,0,0,0,1,0,1,0,1,Saya merasakan kebahagiaan dan kejutan saat setiap pelajaran menjadi lebih mudah dipahami,['😊'],1
749,Mempelajari NLP terasa menyenangkan dan menyegarkan berkat penjelasan yang jelas dan menarik dalam kursus ini.,1,0,0,0,0,1,0,0,0,1,Mempelajari NLP terasa menyenangkan dan menyegarkan berkat penjelasan yang jelas dan menarik dalam kursus ini.,[],0
750,Saya merasa senang dan terkesan dengan bagaimana kursus tersebut menjelaskan konsep-konsep NLP dengan cara yang menyenangkan.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan bagaimana kursus tersebut menjelaskan konsep-konsep NLP dengan cara yang menyenangkan.,[],0
751,Kursus ini membuat pembelajaran NLP menjadi sangat mudah dan menyenangkan berkat strukturnya yang jelas.,2,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi sangat mudah dan menyenangkan berkat strukturnya yang jelas.,[],0
752,Saya merasakan kegembiraan dan kejutan positif karena instruktur membuat konsep NLP mudah dipahami.,1,0,0,0,0,1,0,1,0,1,Saya merasakan kegembiraan dan kejutan positif karena instruktur membuat konsep NLP mudah dipahami.,[],0
753,Pengalaman belajar ini sangat menyenangkan karena kursus ini melampaui harapan saya dalam hal kejelasan.,4,0,0,0,0,1,0,0,0,1,Pengalaman belajar ini sangat menyenangkan karena kursus ini melampaui harapan saya dalam hal kejelasan.,[],0
754,Saya merasa gembira dan terkejut sekaligus senang karena pelajaran-pelajaran tersebut sangat menarik dan mudah dipahami.,1,0,0,0,0,1,0,1,0,1,Saya merasa gembira dan terkejut sekaligus senang karena pelajaran-pelajaran tersebut sangat menarik dan mudah dipahami.,[],0
755,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dengan menyajikan ide-ide dengan cara yang sangat sederhana.,2,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dengan menyajikan ide-ide dengan cara yang sangat sederhana.,[],0
756,Saya menikmati setiap pelajaran dan terkejut dengan betapa percaya dirinya saya saat mempelajari NLP.,4,0,0,0,0,1,0,1,0,1,Saya menikmati setiap pelajaran dan terkejut dengan betapa percaya dirinya saya saat mempelajari NLP.,[],0
757,Kursus ini menghadirkan kegembiraan dan antusiasme dengan membuat konsep NLP menjadi jelas dan menarik.,1,0,0,0,0,1,0,0,0,1,Kursus ini menghadirkan kegembiraan dan antusiasme dengan membuat konsep NLP menjadi jelas dan menarik.,[],0
758,Saya merasa senang sekaligus terkesan dengan pendekatan pengajaran instruktur tersebut.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang sekaligus terkesan dengan pendekatan pengajaran instruktur tersebut.,[],0
759,Kursus ini melampaui ekspektasi saya dengan menjadikan pembelajaran NLP sebagai pengalaman yang menyenangkan.,4,0,0,0,0,1,0,0,0,1,Kursus ini melampaui ekspektasi saya dengan menjadikan pembelajaran NLP sebagai pengalaman yang menyenangkan.,[],0
760,Saya merasa gembira dan terkejut secara positif dengan betapa jelasnya kursus tersebut menjelaskan dasar-dasar NLP.,1,0,0,0,0,1,0,1,0,1,Saya merasa gembira dan terkejut secara positif dengan betapa jelasnya kursus tersebut menjelaskan dasar-dasar NLP.,[],0
761,Mempelajari NLP melalui kursus ini menyenangkan dan sangat memotivasi.,4,0,0,0,0,1,0,1,0,1,Mempelajari NLP melalui kursus ini menyenangkan dan sangat memotivasi.,[],0
762,Saya sangat terkejut dengan betapa menarik dan jelasnya pelajaran-pelajaran tersebut.,1,0,0,0,0,1,0,1,0,1,Saya sangat terkejut dengan betapa menarik dan jelasnya pelajaran-pelajaran tersebut.,[],0
763,Kursus ini membuat NLP terasa menarik dan mudah dipahami melalui penjelasannya yang mendalam.,1,0,0,0,0,1,0,0,0,1,Kursus ini membuat NLP terasa menarik dan mudah dipahami melalui penjelasannya yang mendalam.,[],0
764,Saya merasakan kenikmatan dan kejutan yang tulus saat mempelajari setiap topik NLP.,4,0,0,0,0,1,0,1,0,1,Saya merasakan kenikmatan dan kejutan yang tulus saat mempelajari setiap topik NLP.,[],0
765,Perjalanan belajar terasa menyenangkan karena kursus ini melebihi ekspektasi saya dalam hal kualitas.,4,0,0,0,0,1,0,0,0,1,Perjalanan belajar terasa menyenangkan karena kursus ini melebihi ekspektasi saya dalam hal kualitas.,[],0
766,Saya merasa bersemangat dan terkesan dengan betapa lancarnya instruktur menjelaskan konsep-konsep NLP.,1,0,0,0,0,1,0,0,0,1,Saya merasa bersemangat dan terkesan dengan betapa lancarnya instruktur menjelaskan konsep-konsep NLP.,[],0
767,Kursus ini membuat pembelajaran NLP menyenangkan dan sangat mudah dipahami.,1,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menyenangkan dan sangat mudah dipahami.,[],0
768,Saya senang dan terkejut dengan kejelasan penjelasannya.,1,0,0,0,0,1,0,1,0,1,Saya senang dan terkejut dengan kejelasan penjelasannya.,[],0
769,Mempelajari NLP melalui kursus ini terasa bermanfaat dan menyenangkan.,4,0,0,0,0,1,0,0,0,1,Mempelajari NLP melalui kursus ini terasa bermanfaat dan menyenangkan.,[],0
770,Saya merasa senang karena kursus ini membuat konsep NLP menarik dan mudah dipahami.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang karena kursus ini membuat konsep NLP menarik dan mudah dipahami.,[],0
771,Kursus ini melampaui ekspektasi saya dengan mengubah pembelajaran NLP menjadi pengalaman yang menyenangkan.,4,0,0,0,0,1,0,0,0,1,Kursus ini melampaui ekspektasi saya dengan mengubah pembelajaran NLP menjadi pengalaman yang menyenangkan.,[],0
772,Saya mengalami kejutan positif karena pelajaran yang didapat lebih jelas dari yang saya duga.,1,0,0,0,0,1,0,1,0,1,Saya mengalami kejutan positif karena pelajaran yang didapat lebih jelas dari yang saya duga.,[],0
773,Belajar NLP terasa menyenangkan dan lancar berkat penjelasan dari instruktur.,1,0,0,0,0,1,0,0,0,1,Belajar NLP terasa menyenangkan dan lancar berkat penjelasan dari instruktur.,[],0
774,Saya menikmati kursus ini dan terkejut dengan betapa percaya dirinya saya saat itu.,4,0,0,0,0,1,0,1,0,1,Saya menikmati kursus ini dan terkejut dengan betapa percaya dirinya saya saat itu.,[],0
775,Kursus ini memberikan kegembiraan dengan membuat pembelajaran NLP terstruktur dan menarik.,2,0,0,0,0,1,0,0,0,1,Kursus ini memberikan kegembiraan dengan membuat pembelajaran NLP terstruktur dan menarik.,[],0
776,Saya merasa senang dan terkesan dengan bagaimana kursus tersebut menyederhanakan ide-ide yang kompleks.,2,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan bagaimana kursus tersebut menyederhanakan ide-ide yang kompleks.,[],0
777,Mempelajari NLP sangat menyenangkan dan penuh kejutan yang menyenangkan sepanjang kursus.,4,0,0,0,0,1,0,1,0,1,Mempelajari NLP sangat menyenangkan dan penuh kejutan yang menyenangkan sepanjang kursus.,[],0
778,Pendekatan instruktur membuat pembelajaran NLP menjadi menarik dan mudah diakses.,1,0,0,0,0,1,0,0,0,1,Pendekatan instruktur membuat pembelajaran NLP menjadi menarik dan mudah diakses.,[],0
779,Kursus ini melampaui harapan saya karena membuat proses belajar menjadi menyenangkan.,4,0,0,0,0,1,0,0,0,1,Kursus ini melampaui harapan saya karena membuat proses belajar menjadi menyenangkan.,[],0
780,Saya merasa senang mempelajari NLP karena penjelasannya jelas dan menarik.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang mempelajari NLP karena penjelasannya jelas dan menarik.,[],0
781,Kursus ini membuat pembelajaran NLP menjadi sangat menyenangkan dan bermanfaat.,4,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi sangat menyenangkan dan bermanfaat.,[],0
782,Saya merasakan kebahagiaan dan kejutan saat setiap pelajaran menjadi lebih mudah dipahami.,4,0,0,0,0,1,0,1,0,1,Saya merasakan kebahagiaan dan kejutan saat setiap pelajaran menjadi lebih mudah dipahami.,[],0
783,Saya merasakan kebahagiaan karena kursus ini melebihi ekspektasi saya.,4,0,0,0,0,1,0,0,0,1,Saya merasakan kebahagiaan karena kursus ini melebihi ekspektasi saya.,[],0
784,Kursus ini membuat pembelajaran NLP menjadi menarik dan menyenangkan.,1,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP menjadi menarik dan menyenangkan.,[],0
785,Saya sangat terkejut sekaligus senang karena ternyata saya menikmati pelajaran-pelajaran tersebut.,4,0,0,0,0,1,0,1,0,1,Saya sangat terkejut sekaligus senang karena ternyata saya menikmati pelajaran-pelajaran tersebut.,[],0
786,Mempelajari NLP melalui kursus ini terasa menyenangkan dan bermanfaat.,4,0,0,0,0,1,0,0,0,1,Mempelajari NLP melalui kursus ini terasa menyenangkan dan bermanfaat.,[],0
787,Saya merasa senang dan terkesan dengan cara penyampaian kontennya.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan cara penyampaian kontennya.,[],0
788,Kursus ini melampaui ekspektasi saya dengan membuat pembelajaran NLP menjadi menyenangkan.,4,0,0,0,0,1,0,0,0,1,Kursus ini melampaui ekspektasi saya dengan membuat pembelajaran NLP menjadi menyenangkan.,[],0
789,Saya merasakan kegembiraan ketika pelajaran-pelajaran tersebut membuat ide-ide kompleks menjadi mudah dipahami.,2,0,0,0,0,1,0,0,0,1,Saya merasakan kegembiraan ketika pelajaran-pelajaran tersebut membuat ide-ide kompleks menjadi mudah dipahami.,[],0
790,Mempelajari NLP terasa menyenangkan dan lancar sepanjang kursus.,4,0,0,0,0,1,0,0,0,1,Mempelajari NLP terasa menyenangkan dan lancar sepanjang kursus.,[],0
791,Saya merasa senang mempelajari NLP karena penjelasannya jelas dan menarik.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang mempelajari NLP karena penjelasannya jelas dan menarik.,[],0
792,Kursus ini membuat belajar NLP menjadi sangat menyenangkan.,4,0,0,0,0,1,0,1,0,1,Kursus ini membuat belajar NLP menjadi sangat menyenangkan.,[],0
793,Saya mendapat kejutan positif karena pelajaran-pelajaran tersebut melebihi ekspektasi saya.,4,0,0,0,0,1,0,1,0,1,Saya mendapat kejutan positif karena pelajaran-pelajaran tersebut melebihi ekspektasi saya.,[],0
794,Mempelajari NLP melalui kursus ini terasa menyenangkan dan memotivasi.,4,0,0,0,0,1,0,0,0,1,Mempelajari NLP melalui kursus ini terasa menyenangkan dan memotivasi.,[],0
795,Saya sangat terkejut dengan kualitas penjelasannya.,2,0,0,0,0,1,0,1,0,1,Saya sangat terkejut dengan kualitas penjelasannya.,[],0
796,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dan mudah diakses.,4,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dan mudah diakses.,[],0
797,Saya merasa senang dan terkesan dengan betapa baiknya instruktur menjelaskan konsep-konsep tersebut.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan betapa baiknya instruktur menjelaskan konsep-konsep tersebut.,[],0
798,Belajar NLP menjadi pengalaman yang menyenangkan berkat kursus ini.,4,0,0,0,0,1,0,0,0,1,Belajar NLP menjadi pengalaman yang menyenangkan berkat kursus ini.,[],0
799,Saya menikmati pelajaran-pelajaran tersebut dan terkejut dengan betapa percaya dirinya saya saat itu.,4,0,0,0,0,1,0,1,0,1,Saya menikmati pelajaran-pelajaran tersebut dan terkejut dengan betapa percaya dirinya saya saat itu.,[],0
800,Kursus ini melampaui harapan saya dalam membuat pembelajaran menjadi menyenangkan.,4,0,0,0,0,1,0,0,0,1,Kursus ini melampaui harapan saya dalam membuat pembelajaran menjadi menyenangkan.,[],0
801,Saya merasa gembira dan antusias mempelajari NLP melalui kursus ini.,4,0,0,0,0,1,0,0,0,1,Saya merasa gembira dan antusias mempelajari NLP melalui kursus ini.,[],0
802,Kursus ini membuat pembelajaran NLP menjadi sangat mudah dan menyenangkan.,4,0,0,0,0,1,0,1,0,1,Kursus ini membuat pembelajaran NLP menjadi sangat mudah dan menyenangkan.,[],0
803,Saya merasakan kebahagiaan karena pelajaran-pelajarannya lebih jelas dari yang saya duga.,2,0,0,0,0,1,0,0,0,1,Saya merasakan kebahagiaan karena pelajaran-pelajarannya lebih jelas dari yang saya duga.,[],0
804,Mempelajari NLP terasa menyenangkan berkat struktur kursusnya.,2,0,0,0,0,1,0,0,0,1,Mempelajari NLP terasa menyenangkan berkat struktur kursusnya.,[],0
805,Saya sangat terkejut dengan betapa menariknya konten tersebut.,2,0,0,0,0,1,0,1,0,1,Saya sangat terkejut dengan betapa menariknya konten tersebut.,[],0
806,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dan bermanfaat.,4,0,0,0,0,1,0,0,0,1,Kursus ini membuat pembelajaran NLP menjadi menyenangkan dan bermanfaat.,[],0
807,Saya merasa senang dan terkesan dengan kejelasan penjelasan instruktur.,1,0,0,0,0,1,0,0,0,1,Saya merasa senang dan terkesan dengan kejelasan penjelasan instruktur.,[],0
808,Belajar NLP menjadi menarik dan menyenangkan melalui kursus ini.,4,0,0,0,0,1,0,0,0,1,Belajar NLP menjadi menarik dan menyenangkan melalui kursus ini.,[],0
809,Saya menikmati kursus ini dan terkejut betapa mudahnya memahami NLP.,4,0,0,0,0,1,0,1,0,1,Saya menikmati kursus ini dan terkejut betapa mudahnya memahami NLP.,[],0
